In Module,For Class,Method,Instance ID,Descendants,Descendant Methods IDs
Time Core,Condition Rule,Condition Rule@ Create Calendar Rule Start(CT)*S,8$6516,"Calendar Rule Factory@process Create Calendar Rule Start(PU)*S[pumb]

Condition Rule@responds Condition Rule Common- Subsequent Step(BUIR)*S(public)[brmb]+PA","62$1304,393$2091"
Time Core,Condition Rule,Condition Rule@ Edit Calendar Rule Start(CT)*S,8$6517,Condition Rule@responds Condition Rule Common- Subsequent Step(BUIR)(public)[brmb],62$1305
Time Core,Condition Rule,Condition Rule@ Get Calendar Rules Request(CT)*S,8$6539,Condition Rule@responds Condition Rule@build Get Calendar Rules Response(BE)*P*S[remb](BWSR)*S[brmb],171$1377
Time Core,Condition Rule,Condition Rule@ Put Calendar Rule Request(CT)*S,8$6540,"Condition Rule@responds Condition Rule@build Put Calendar Rule Response(BE)[remb](BWSR)[brmb]

Instance@add New or Get Process Instance from parm(GSS)*P*S(public)[rsmb]

Instance@process Common(PU)(public)[pumb]",171$1378
Time Core,Condition Rule,Condition Rule@ Get Calendar Rules without Dependencies Request(CT)*S,8$8389,Condition Rule@responds Condition Rule@build Get Calendar Rules Response(BE)*P*S[remb](BWSR)*S[brmb],171$1377
Time Core,Time Review Event,Time Review Event@ Revise Worker Time Start(CT)*S,8$9531,"Time Review Event@responds View Time Calendar- Conclusion Step(BUIR)[brmb]+???+PA

Worker Coordinated Time Block@responds Enter Time/...- Subsequent Step(BUIR)*S[brmb]+???+PA","19$40896,2663$13793,65$3,12$8899,12$8900,207$645,19$12141,2663$26542,12$28494,62$12111,12$25109,12$25110,12$12695,19$4537,62$11322,19$62365"
Time Core,Period Schedule (Derived),Period Schedule (Derived)@ Time Entry Period Schedule View Start(CT)*S,8$9938,Period Schedule (Derived)@responds Time Entry Period Schedule View- Conclusion Step(BUIR)*S[brmb],62$4648
Time Core,Worker Time Block,Worker Time Block@ Adjust Calculated Time Start(CT)*S,8$10290,Worker Time Block@responds Adjust Calculated Time Edit- Subsequent Step(BUIR)*S[brmb]+PA,"26$75361,19$7778,26$39490,66$3,66$37,19$123974,26$69832,19$56137,2663$68111,26$85680,26$111858,19$59315,62$4852,26$72216,92$24,19$130809,92$25,19$97338,26$69339,26$69340,19$94141,26$69341,19$125022"
Time Core,Worker Coordinated Time Block,Worker Coordinated Time Block@ Worker Time Block Main Element(CT)*S,8$10452,"Worker Coordinated Time Block@process Worker Time Block Main Element(PU)*P*S[pumb]

Worker Coordinated Time Block@responds Enter Time Weekly-Mini Conclusion Step(BUIR)*S[brmb]",62$4950
Time Core,Time Tracking API (Derived),Time Tracking API (Derived)@ Enter Time for Calendar (Calendar Entry Derived Instance) Start(CT)*S,8$10456,Time Tracking API (Derived)@responds Enter Time From Button- Subsequent Step(BUIR)*S[brmb]+PA,"19$40896,62$4948"
Time Core,Time Review Event,Time Review Event@ Adjust Calculated Time Edit(CT)*S,8$10507,"Time Review Event@process Process Adjustments(PU)*S[pumb]+PA

Time Review Event@responds /Critical Errors must be f...- Subsequent Step(BUIR)*S[brmb]+???+PA

Time Review Event@responds Adjustments Submitted/...- Conclusion Step(BUIR)*S[brmb]+???+PA","26$71584,26$75361,19$7778,26$39490,66$3,26$69832,19$56137,62$5101,18$24112,19$59315,26$72216,19$97338,26$69339,26$69340,26$69341,62$5053"
Time Core,Time Review Event,Time Review Event@ Submit Enter Time Start(CT)*S,8$10605,Time Review Event@responds Submit Time- Subsequent Step(BUIR)*S[brmb]+PA,"66$3,66$37,19$91431,26$93800,13038$7500,19$9774,13038$4754,2663$52178,13038$4755,62$9110,13039$3478,18$3512,18$3513,13039$12028,2663$25950"
Time Core,Condition Rule,Condition Rule@ Create Calendar Rule Start (Intra-Task)(CT)*S,8$10742,Condition Rule@responds Condition Rule Common- Subsequent Step(BUIR)*S(public)[brmb],62$1304
Time Core,Time Review Event,Time Review Event@ BPF Toolbar for Approve Time Edit(CT)*S,8$10789,"Action Event@process Event Update(PU)(public)(RETRACTED)[pumb]

Event Behavior@responds Event Confirmation View MSS- Conclusion Step(BUIR)(public)[brmb]+DT","62$2464,62$16416,92$897,62$18178,62$16533,62$14230,66$7,62$12684,62$18412,62$17743,62$18031"
Time Core,Worker Time Block,Worker Time Block@ Enter Reported Time WATS Start(CT)*S,8$10800,Worker Time Block@responds Enter Reported Time Edit - WATS- Subsequent Step(BUIR)*S[brmb]+PA,"19$40896,52$10081,62$5139,52$9204,94$8093"
Time Core,Time Tracking WATS Event,Time Tracking WATS Event@ Enter Reported Time Edit - WATS(CT)*S,8$10801,"Instance@add New Instance(GSS)*P*S(public)[rsmb]+???

Time Review Event@process Enter Time WATS | Do Not Submit(PU)*S[pumb]+???+PA

Time Review Event@responds Enter Reported Time Edit - WATS- Conclusion Step(BUIR)*S[brmb]+???

Time Tracking WATS Event@process Enter Reported Time Edit - WATS(PU)[pumb]+???

Worker Time Block@responds -Mini Conclusion Step(BUIR)*S[brmb]+???","62$5555,62$5166"
Time Core,Worker,Worker@ View Time for Worker Start(CT)*S,8$10905,Worker@responds Enter Time/...- Conclusion Step(BUIR)*S[brmb]+PA,"62$5187,26$98675,52$14171"
